Phase,Magnitude
-0.20971,13.856227
-0.208709,13.84734
-0.207708,13.850199
-0.206707,13.854421
-0.205706,13.835951
-0.204705,13.8623
-0.203704,13.868554
-0.202703,13.88139
-0.201702,13.852525
-0.200701,13.85919
-0.1997,13.856637
-0.198699,13.836139
-0.197698,13.846801
-0.196697,13.883915
-0.195696,13.858723
-0.194695,13.843279
-0.193694,13.884051
-0.192693,13.886119
-0.191692,13.872696
-0.190691,13.884849
-0.18969,13.85023
-0.188689,13.845552
-0.187688,13.910634
-0.186687,13.886546
-0.185686,13.877804
-0.184685,13.881077
-0.183684,13.86557
-0.182683,13.868087
-0.181682,13.874271
-0.180681,13.879782
-0.17968,13.887749
-0.178679,13.863675
-0.177678,13.915818
-0.176677,13.881347
-0.175676,13.880599
-0.174675,13.878729
-0.173674,13.851586
-0.172673,13.902595
-0.171672,13.89614
-0.170671,13.896451
-0.16967,13.86106
-0.168669,13.868003
-0.167668,13.952675
-0.166667,13.876652
-0.165666,13.941854
-0.164665,13.923006
-0.163664,13.882876
-0.162663,13.883753
-0.161662,13.890608
-0.160661,13.879283
-0.15966,13.898736
-0.158659,13.884497
-0.157658,13.896615
-0.156657,13.898706
-0.155656,13.90255
-0.154655,13.916861
-0.153654,13.955719
-0.152653,13.939776
-0.151652,13.89011
-0.150651,13.936246
-0.14965,13.892618
-0.148649,13.919065
-0.147648,13.925966
-0.146647,13.92402
-0.145646,13.888227
-0.144645,13.910951
-0.143644,13.909431
-0.142643,13.967174
-0.141642,13.926986
-0.140641,13.905574
-0.13964,13.93685
-0.138639,13.928154
-0.137638,13.93407
-0.136637,13.925519
-0.135636,13.943275
-0.134635,13.922255
-0.133634,13.961764
-0.132633,13.921694
-0.131632,13.941699
-0.130631,13.959974
-0.12963,13.957748
-0.128629,13.941253
-0.127628,13.939848
-0.126627,13.951405
-0.125626,13.96104
-0.124625,13.948891
-0.123624,13.948571
-0.122623,13.953165
-0.121622,14.015462
-0.120621,13.959948
-0.11962,13.9471
-0.118619,13.943315
-0.117618,13.953306
-0.116617,13.960413
-0.115616,13.968064
-0.114615,13.952781
-0.113614,13.992146
-0.112613,13.959161
-0.111612,13.966753
-0.110611,13.952141
-0.10961,13.957015
-0.108609,13.974991
-0.107608,13.99981
-0.106607,13.992313
-0.105606,13.991303
-0.104605,14.005239
-0.103604,14.003632
-0.102603,13.980479
-0.101602,13.997783
-0.100601,14.002444
-0.0996,13.998973
-0.098599,14.015407
-0.097598,14.000831
-0.096597,14.031532
-0.095596,13.996343
-0.094595,14.019186
-0.093594,14.032533
-0.092593,14.041178
-0.091592,14.078979
-0.090591,14.017214
-0.08959,14.02413
-0.088589,14.046328
-0.087588,14.02582
-0.086587,14.056032
-0.085586,14.062134
-0.084585,14.058068
-0.083584,14.107612
-0.082583,14.0778
-0.081582,14.08661
-0.080581,14.050369
-0.07958,14.027232
-0.078579,14.088579
-0.077578,14.075223
-0.076577,14.064309
-0.075576,14.080653
-0.074575,14.074218
-0.073574,14.084779
-0.072573,14.067062
-0.071572,14.093674
-0.070571,14.111816
-0.06957,14.097529
-0.068569,14.106492
-0.067568,14.08828
-0.066567,14.083032
-0.065566,14.201174
-0.064565,14.11723
-0.063564,14.116905
-0.062563,14.112604
-0.061562,14.094552
-0.060561,14.090894
-0.05956,14.123573
-0.058559,14.134287
-0.057558,14.168718
-0.056557,14.169634
-0.055556,14.149495
-0.054555,14.176248
-0.053554,14.135804
-0.052553,14.142299
-0.051552,14.179202
-0.050551,14.149138
-0.04955,14.214576
-0.048549,14.167115
-0.047548,14.191837
-0.046547,14.187135
-0.045546,14.155201
-0.044545,14.186402
-0.043544,14.186894
-0.042543,14.220451
-0.041542,14.182091
-0.040541,14.157907
-0.03954,14.169162
-0.038539,14.186777
-0.037538,14.249412
-0.036537,14.222315
-0.035536,14.210269
-0.034535,14.17932
-0.033534,14.233902
-0.032533,14.243717
-0.031532,14.211869
-0.030531,14.240494
-0.02953,14.233547
-0.028529,14.22049
-0.027528,14.212772
-0.026527,14.265309
-0.025526,14.255359
-0.024525,14.260633
-0.023524,14.23326
-0.022523,14.270405
-0.021522,14.25023
-0.020521,14.27646
-0.01952,14.239759
-0.018519,14.272459
-0.017518,14.254505
-0.016517,14.266361
-0.015516,14.262215
-0.014515,14.308668
-0.013514,14.252748
-0.012513,14.234442
-0.011512,14.29867
-0.010511,14.260952
-0.00951,14.244848
-0.008509,14.260275
-0.007508,14.233173
-0.006507,14.304565
-0.005506,14.294311
-0.004505,14.305061
-0.003504,14.309968
-0.002503,14.299149
-0.001502,14.263175
-0.000501,14.279772
0.000501,14.281332
0.001502,14.285555
0.002503,14.277793
0.003504,14.245716
0.004505,14.283751
0.005506,14.302508
0.006507,14.275816
0.007508,14.262318
0.008509,14.269313
0.00951,14.267838
0.010511,14.253619
0.011512,14.282619
0.012513,14.272407
0.013514,14.260954
0.014515,14.28919
0.015516,14.319571
0.016517,14.266431
0.017518,14.250105
0.018519,14.294491
0.01952,14.262971
0.020521,14.233309
0.021522,14.228999
0.022523,14.258061
0.023524,14.261352
0.024525,14.284355
0.025526,14.22672
0.026527,14.22244
0.027528,14.241261
0.028529,14.432663
0.02953,14.245892
0.030531,14.19617
0.031532,14.235045
0.032533,14.236032
0.033534,14.247109
0.034535,14.204553
0.035536,14.18882
0.036537,14.210551
0.037538,14.21002
0.038539,14.214611
0.03954,14.185874
0.040541,14.20736
0.041542,14.179444
0.042543,14.168944
0.043544,14.204033
0.044545,14.169785
0.045546,14.15611
0.046547,14.180246
0.047548,14.176839
0.048549,14.142986
0.04955,14.176283
0.050551,14.167262
0.051552,14.139658
0.052553,14.157137
0.053554,14.183789
0.054555,14.113884
0.055556,14.149758
0.056557,14.163256
0.057558,14.162284
0.058559,14.102795
0.05956,14.149759
0.060561,14.111243
0.061562,14.1114
0.062563,14.079737
0.063564,14.097879
0.064565,14.127222
0.065566,14.09396
0.066567,14.086108
0.067568,14.07545
0.068569,14.114795
0.06957,14.079807
0.070571,14.097309
0.071572,14.090176
0.072573,14.074898
0.073574,14.098487
0.074575,14.079422
0.075576,14.061331
0.076577,14.024804
0.077578,14.064746
0.078579,14.111405
0.07958,14.059759
0.080581,14.057211
0.081582,14.042629
0.082583,14.070153
0.083584,14.052692
0.084585,14.027991
0.085586,14.025153
0.086587,13.993351
0.087588,14.066757
0.088589,14.042077
0.08959,14.073832
0.090591,14.038015
0.091592,14.01357
0.092593,14.041356
0.093594,14.002136
0.094595,14.021265
0.095596,14.009171
0.096597,14.016747
0.097598,14.031492
0.098599,14.00175
0.0996,14.018121
0.100601,14.018834
0.101602,14.006123
0.102603,13.997277
0.103604,13.989025
0.104605,13.966945
0.105606,13.988858
0.106607,13.985815
0.107608,14.0031
0.108609,13.991673
0.10961,13.989729
0.110611,13.978894
0.111612,13.961092
0.112613,14.008612
0.113614,14.001493
0.114615,13.999039
0.115616,13.960217
0.116617,13.977021
0.117618,13.972432
0.118619,13.963219
0.11962,13.995295
0.120621,13.965308
0.121622,13.966495
0.122623,13.92198
0.123624,13.984638
0.124625,13.934606
0.125626,13.930647
0.126627,13.948086
0.127628,13.959697
0.128629,13.933096
0.12963,13.946656
0.130631,13.950798
0.131632,13.948077
0.132633,13.941104
0.133634,13.942149
0.134635,13.96427
0.135636,14.05091
0.136637,13.922337
0.137638,13.905626
0.138639,13.923379
0.13964,13.909314
0.140641,13.964765
0.141642,13.937159
0.142643,13.938358
0.143644,13.895893
0.144645,13.957305
0.145646,13.915489
0.146647,13.916373
0.147648,13.896533
0.148649,13.906886
0.14965,13.890408
0.150651,13.922396
0.151652,13.893903
0.152653,13.910119
0.153654,13.922594
0.154655,13.908173
0.155656,13.922828
0.156657,13.850488
0.157658,13.876415
0.158659,13.884996
0.15966,13.876273
0.160661,13.892305
0.161662,13.891258
0.162663,13.906378
0.163664,13.889056
0.164665,13.87958
0.165666,13.884587
0.166667,13.919446
